id,name,district,year,layer,funder,program,type,amount,amount_unit,source,source_url,as_of
c10552,한국자동차연구원,,2026,국비,산업통상자원부,[IRIS 사업] 급속충전용내구성고안전리튬이온이차전지소재및셀개발,R&D,,,KEIT 산업기술 R&D 과제현황(공공데이터포털),https://www.data.go.kr/data/15018033/fileData.do,20260721
c10552,한국자동차연구원,,2026,국비,산업통상자원부,[IRIS 사업] 그린카,R&D,,,KEIT 산업기술 R&D 과제현황(공공데이터포털),https://www.data.go.kr/data/15018033/fileData.do,20260721
c10552,한국자동차연구원,,2026,국비,산업통상자원부,[IRIS 사업] 국가표준기술력향상,R&D,,,KEIT 산업기술 R&D 과제현황(공공데이터포털),https://www.data.go.kr/data/15018033/fileData.do,20260721
c10552,한국자동차연구원,,2026,국비,산업통상자원부,[IRIS 사업] SBOM등글로벌규제대응을위한AI기반자동차원격업데이트(OTA)보안성검증시스템개발,R&D,,,KEIT 산업기술 R&D 과제현황(공공데이터포털),https://www.data.go.kr/data/15018033/fileData.do,20260721
c10552,한국자동차연구원,,2026,국비,산업통상자원부,[IRIS 사업] K-로봇피지컬AI생태계조성,R&D,,,KEIT 산업기술 R&D 과제현황(공공데이터포털),https://www.data.go.kr/data/15018033/fileData.do,20260721
,한국소방기구제작소,,2026,국비,산업통상자원부,[IRIS 사업] 위험물시설화재·폭발사고예방및대응기술개발,R&D,,,KEIT 산업기술 R&D 과제현황(공공데이터포털),https://www.data.go.kr/data/15018033/fileData.do,20260721
c10430,한국 고분자,,2026,국비,산업통상자원부,[IRIS 사업] 제조AI데이터벨류체인구축,R&D,,,KEIT 산업기술 R&D 과제현황(공공데이터포털),https://www.data.go.kr/data/15018033/fileData.do,20260721
x2938,플라잉마운틴,,2026,국비,산업통상자원부,[IRIS 사업] 국가표준기술력향상,R&D,,,KEIT 산업기술 R&D 과제현황(공공데이터포털),https://www.data.go.kr/data/15018033/fileData.do,20260721
,퍼시픽엑스코리아 주식회사,,2026,국비,중소벤처기업부,주력산업 생태계 구축,R&D,,,중소벤처기업부 중소기업기술개발과제정보(공공데이터포털),https://www.data.go.kr/data/3044610/fileData.do,20260831
x4623,티에이치티 주식회사,,2026,국비,중소벤처기업부,기술사업화 패키지 사업,R&D,,,중소벤처기업부 중소기업기술개발과제정보(공공데이터포털),https://www.data.go.kr/data/3044610/fileData.do,20260831
c6693,테스코(주),,2026,국비,산업통상자원부,[IRIS 사업] 패키지형,R&D,,,KEIT 산업기술 R&D 과제현황(공공데이터포털),https://www.data.go.kr/data/15018033/fileData.do,20260721
x4138,테라랩 주식회사,,2026,국비,중소벤처기업부,지역기업 역량강화,R&D,,,중소벤처기업부 중소기업기술개발과제정보(공공데이터포털),https://www.data.go.kr/data/3044610/fileData.do,20260831
,태림산업(주),,2026,국비,중소벤처기업부,주력산업 생태계 구축,R&D,,,중소벤처기업부 중소기업기술개발과제정보(공공데이터포털),https://www.data.go.kr/data/3044610/fileData.do,20260831
x4328,케이앤피,,2026,국비,중소벤처기업부,주력산업 생태계 구축,R&D,,,중소벤처기업부 중소기업기술개발과제정보(공공데이터포털),https://www.data.go.kr/data/3044610/fileData.do,20260831
x4328,케이앤피,,2026,국비,산업통상자원부,[IRIS 사업] 이종기술융합형,R&D,,,KEIT 산업기술 R&D 과제현황(공공데이터포털),https://www.data.go.kr/data/15018033/fileData.do,20260721
c4610,케이디텍,,2026,국비,중소벤처기업부,주력산업 생태계 구축,R&D,,,중소벤처기업부 중소기업기술개발과제정보(공공데이터포털),https://www.data.go.kr/data/3044610/fileData.do,20260831
c8678,카펙발레오,,2026,국비,산업통상자원부,[IRIS 사업] 전기자동차설계공정혁신CTC(CelltoChassis)배터리시스템플랫폼기술개발,R&D,,,KEIT 산업기술 R&D 과제현황(공공데이터포털),https://www.data.go.kr/data/15018033/fileData.do,20260721
c9213,카본가람,,2026,국비,산업통상자원부,[IRIS 사업] 패키지형,R&D,,,KEIT 산업기술 R&D 과제현황(공공데이터포털),https://www.data.go.kr/data/15018033/fileData.do,20260721
c6680,청진,,2026,국비,산업통상자원부,[IRIS 사업] 제조암묵지기반AI모델개발(R&D),R&D,,,KEIT 산업기술 R&D 과제현황(공공데이터포털),https://www.data.go.kr/data/15018033/fileData.do,20260721
,채비(주),,2026,국비,산업통상자원부,[IRIS 사업] AI응용제품신속상용화지원사업,R&D,,,KEIT 산업기술 R&D 과제현황(공공데이터포털),https://www.data.go.kr/data/15018033/fileData.do,20260721
c5900,진우섬유,,2026,국비,산업통상자원부,[IRIS 사업] 탄소제로섬유패션산업생태계전환을위한핵심기술개발,R&D,,,KEIT 산업기술 R&D 과제현황(공공데이터포털),https://www.data.go.kr/data/15018033/fileData.do,20260721
c9628,지에프테크놀로지,,2026,국비,행정안전부,[IRIS 사업] 지역수요맞춤형문제해결기술개발,R&D,,,KEIT 산업기술 R&D 과제현황(공공데이터포털),https://www.data.go.kr/data/15018033/fileData.do,20260721
c5214,주식회사한림기술,,2026,국비,중소벤처기업부,신진연구인력채용지원(참여기업접수용),R&D,,,중소벤처기업부 중소기업기술개발과제정보(공공데이터포털),https://www.data.go.kr/data/3044610/fileData.do,20260831
x4684,주식회사주원,,2026,국비,행정안전부,[IRIS 사업] 지역수요맞춤형문제해결기술개발,R&D,,,KEIT 산업기술 R&D 과제현황(공공데이터포털),https://www.data.go.kr/data/15018033/fileData.do,20260721
x2984,주식회사와이테크,,2026,국비,산업통상자원부,[IRIS 사업] 기술자립형첨단패키징기술개발,R&D,,,KEIT 산업기술 R&D 과제현황(공공데이터포털),https://www.data.go.kr/data/15018033/fileData.do,20260721
x4312,주식회사어반스마트공간연구소,,2026,국비,산업통상자원부,[IRIS 사업] 위험물시설화재·폭발사고예방및대응기술개발,R&D,,,KEIT 산업기술 R&D 과제현황(공공데이터포털),https://www.data.go.kr/data/15018033/fileData.do,20260721
,주식회사애드,,2026,국비,중소벤처기업부,기술사업화 패키지 사업,R&D,,,중소벤처기업부 중소기업기술개발과제정보(공공데이터포털),https://www.data.go.kr/data/3044610/fileData.do,20260831
c9875,주식회사아세아텍,,2026,국비,산업통상자원부,[IRIS 사업] AI응용제품신속상용화지원사업,R&D,,,KEIT 산업기술 R&D 과제현황(공공데이터포털),https://www.data.go.kr/data/15018033/fileData.do,20260721
x4686,주식회사씨엘모빌리티,,2026,국비,중소벤처기업부,주력산업 생태계 구축,R&D,,,중소벤처기업부 중소기업기술개발과제정보(공공데이터포털),https://www.data.go.kr/data/3044610/fileData.do,20260831
c6581,주식회사모토닉대구공장,,2026,국비,산업통상자원부,[IRIS 사업] 그린카,R&D,,,KEIT 산업기술 R&D 과제현황(공공데이터포털),https://www.data.go.kr/data/15018033/fileData.do,20260721
c0457,주식회사레이월드,,2026,국비,중소벤처기업부,주력산업 생태계 구축,R&D,,,중소벤처기업부 중소기업기술개발과제정보(공공데이터포털),https://www.data.go.kr/data/3044610/fileData.do,20260831
c8815,주식회사동성하이텍,,2026,국비,중소벤처기업부,신진연구인력채용지원(참여기업접수용),R&D,,,중소벤처기업부 중소기업기술개발과제정보(공공데이터포털),https://www.data.go.kr/data/3044610/fileData.do,20260831
,주식회사네오테크,,2026,국비,중소벤처기업부,지역기업 역량강화,R&D,,,중소벤처기업부 중소기업기술개발과제정보(공공데이터포털),https://www.data.go.kr/data/3044610/fileData.do,20260831
x3874,주식회사 퓨리언스,,2026,국비,산업통상자원부,[IRIS 사업] 이종기술융합형,R&D,,,KEIT 산업기술 R&D 과제현황(공공데이터포털),https://www.data.go.kr/data/15018033/fileData.do,20260721
c2899,주식회사 팸텍,,2026,국비,중소벤처기업부,기술사업화 패키지 사업,R&D,,,중소벤처기업부 중소기업기술개발과제정보(공공데이터포털),https://www.data.go.kr/data/3044610/fileData.do,20260831
c2899,주식회사 팸텍,,2026,국비,산업통상자원부,[IRIS 사업] 국가표준기술력향상,R&D,,,KEIT 산업기술 R&D 과제현황(공공데이터포털),https://www.data.go.kr/data/15018033/fileData.do,20260721
x4737,주식회사 파미티,,2026,국비,산업통상자원부,[IRIS 사업] 국가표준기술력향상,R&D,,,KEIT 산업기술 R&D 과제현황(공공데이터포털),https://www.data.go.kr/data/15018033/fileData.do,20260721
,주식회사 테스,,2026,국비,중소벤처기업부,고경력연구인력채용지원(참여기업접수용),R&D,,,중소벤처기업부 중소기업기술개발과제정보(공공데이터포털),https://www.data.go.kr/data/3044610/fileData.do,20260831
,주식회사 큐빅,,2026,국비,중소벤처기업부,신진연구인력채용지원(참여기업접수용),R&D,,,중소벤처기업부 중소기업기술개발과제정보(공공데이터포털),https://www.data.go.kr/data/3044610/fileData.do,20260831
x3752,주식회사 퀘스터,,2026,국비,산업통상자원부,[IRIS 사업] AI응용제품신속상용화지원사업,R&D,,,KEIT 산업기술 R&D 과제현황(공공데이터포털),https://www.data.go.kr/data/15018033/fileData.do,20260721
c7561,주식회사 창림,,2026,국비,중소벤처기업부,주력산업 생태계 구축,R&D,,,중소벤처기업부 중소기업기술개발과제정보(공공데이터포털),https://www.data.go.kr/data/3044610/fileData.do,20260831
c3988,주식회사 제이디,,2026,국비,중소벤처기업부,지역기업 역량강화,R&D,,,중소벤처기업부 중소기업기술개발과제정보(공공데이터포털),https://www.data.go.kr/data/3044610/fileData.do,20260831
,주식회사 이엠에스,,2026,국비,중소벤처기업부,신진연구인력채용지원(참여기업접수용),R&D,,,중소벤처기업부 중소기업기술개발과제정보(공공데이터포털),https://www.data.go.kr/data/3044610/fileData.do,20260831
x2734,주식회사 이스트,,2026,국비,중소벤처기업부,주력산업 생태계 구축,R&D,,,중소벤처기업부 중소기업기술개발과제정보(공공데이터포털),https://www.data.go.kr/data/3044610/fileData.do,20260831
x4038,주식회사 이브이타고,,2026,국비,중소벤처기업부,지역기업 역량강화,R&D,,,중소벤처기업부 중소기업기술개발과제정보(공공데이터포털),https://www.data.go.kr/data/3044610/fileData.do,20260831
c8445,주식회사 유니크,,2026,국비,산업통상자원부,[IRIS 사업] 그린카,R&D,,,KEIT 산업기술 R&D 과제현황(공공데이터포털),https://www.data.go.kr/data/15018033/fileData.do,20260721
,주식회사 위츠,,2026,국비,산업통상자원부,[IRIS 사업] 그린카,R&D,,,KEIT 산업기술 R&D 과제현황(공공데이터포털),https://www.data.go.kr/data/15018033/fileData.do,20260721
,주식회사 왕별,,2026,국비,중소벤처기업부,신진연구인력채용지원(참여기업접수용),R&D,,,중소벤처기업부 중소기업기술개발과제정보(공공데이터포털),https://www.data.go.kr/data/3044610/fileData.do,20260831
c0035,주식회사 연,,2026,국비,중소벤처기업부,기술사업화 패키지 사업,R&D,,,중소벤처기업부 중소기업기술개발과제정보(공공데이터포털),https://www.data.go.kr/data/3044610/fileData.do,20260831
x4607,주식회사 엠디엠,,2026,국비,중소벤처기업부,주력산업 생태계 구축,R&D,,,중소벤처기업부 중소기업기술개발과제정보(공공데이터포털),https://www.data.go.kr/data/3044610/fileData.do,20260831
x2724,주식회사 에프엠웍스,,2026,국비,산업통상자원부,[IRIS 사업] 위험물시설화재·폭발사고예방및대응기술개발,R&D,,,KEIT 산업기술 R&D 과제현황(공공데이터포털),https://www.data.go.kr/data/15018033/fileData.do,20260721
x3814,주식회사 에이티삼일바이오,,2026,국비,중소벤처기업부,신진연구인력채용지원(참여기업접수용),R&D,,,중소벤처기업부 중소기업기술개발과제정보(공공데이터포털),https://www.data.go.kr/data/3044610/fileData.do,20260831
x3697,주식회사 에스티앤아이,,2026,국비,중소벤처기업부,신진연구인력채용지원(참여기업접수용),R&D,,,중소벤처기업부 중소기업기술개발과제정보(공공데이터포털),https://www.data.go.kr/data/3044610/fileData.do,20260831
,주식회사 에스제이컴퍼니,,2026,국비,중소벤처기업부,기술사업화 패키지 사업,R&D,,,중소벤처기업부 중소기업기술개발과제정보(공공데이터포털),https://www.data.go.kr/data/3044610/fileData.do,20260831
c1434,주식회사 아이테크,,2026,국비,중소벤처기업부,기술사업화 패키지 사업,R&D,,,중소벤처기업부 중소기업기술개발과제정보(공공데이터포털),https://www.data.go.kr/data/3044610/fileData.do,20260831
c10059,주식회사 서우이엔지,,2026,국비,산업통상자원부,[IRIS 사업] 패키지형,R&D,,,KEIT 산업기술 R&D 과제현황(공공데이터포털),https://www.data.go.kr/data/15018033/fileData.do,20260721
c10059,주식회사 서우이엔지,,2026,국비,산업통상자원부,[IRIS 사업] 그린카,R&D,,,KEIT 산업기술 R&D 과제현황(공공데이터포털),https://www.data.go.kr/data/15018033/fileData.do,20260721
x4494,주식회사 비즈데이터,,2026,국비,산업통상자원부,[IRIS 사업] 글로벌우수기업연구소육성(GATC),R&D,,,KEIT 산업기술 R&D 과제현황(공공데이터포털),https://www.data.go.kr/data/15018033/fileData.do,20260721
c10967,주식회사 루타스,,2026,국비,중소벤처기업부,주력산업 생태계 구축,R&D,,,중소벤처기업부 중소기업기술개발과제정보(공공데이터포털),https://www.data.go.kr/data/3044610/fileData.do,20260831
x3377,주식회사 럼플리어,,2026,국비,산업통상자원부,[IRIS 사업] 수요맞춤형산업별배터리소재및셀기술개발,R&D,,,KEIT 산업기술 R&D 과제현황(공공데이터포털),https://www.data.go.kr/data/15018033/fileData.do,20260721
c9814,주식회사 라지,,2026,국비,중소벤처기업부,주력산업 생태계 구축,R&D,,,중소벤처기업부 중소기업기술개발과제정보(공공데이터포털),https://www.data.go.kr/data/3044610/fileData.do,20260831
c1231,주식회사 도원,,2026,국비,산업통상자원부,[IRIS 사업] 패키지형,R&D,,,KEIT 산업기술 R&D 과제현황(공공데이터포털),https://www.data.go.kr/data/15018033/fileData.do,20260721
x3179,주식회사 도구로보틱스,,2026,국비,산업통상자원부,[IRIS 사업] AI응용제품신속상용화지원사업,R&D,,,KEIT 산업기술 R&D 과제현황(공공데이터포털),https://www.data.go.kr/data/15018033/fileData.do,20260721
c5269,주식회사 더아이엠씨,,2026,국비,산업통상자원부,[IRIS 사업] 제조안전고도화기술개발,R&D,,,KEIT 산업기술 R&D 과제현황(공공데이터포털),https://www.data.go.kr/data/15018033/fileData.do,20260721
c5601,주식회사 대흥정공,,2026,국비,산업통상자원부,[IRIS 사업] 그린카,R&D,,,KEIT 산업기술 R&D 과제현황(공공데이터포털),https://www.data.go.kr/data/15018033/fileData.do,20260721
c1078,제핏,,2026,국비,중소벤처기업부,기술사업화 패키지 사업,R&D,,,중소벤처기업부 중소기업기술개발과제정보(공공데이터포털),https://www.data.go.kr/data/3044610/fileData.do,20260831
c2397,전진산업 주식회사,,2026,국비,중소벤처기업부,주력산업 생태계 구축,R&D,,,중소벤처기업부 중소기업기술개발과제정보(공공데이터포털),https://www.data.go.kr/data/3044610/fileData.do,20260831
x3516,인터텍,,2026,국비,중소벤처기업부,주력산업 생태계 구축,R&D,,,중소벤처기업부 중소기업기술개발과제정보(공공데이터포털),https://www.data.go.kr/data/3044610/fileData.do,20260831
c9080,인셀(주),,2026,국비,중소벤처기업부,주력산업 생태계 구축,R&D,,,중소벤처기업부 중소기업기술개발과제정보(공공데이터포털),https://www.data.go.kr/data/3044610/fileData.do,20260831
,이엠테크,,2026,국비,산업통상자원부,[IRIS 사업] 주력산업IT융합,R&D,,,KEIT 산업기술 R&D 과제현황(공공데이터포털),https://www.data.go.kr/data/15018033/fileData.do,20260721
c0652,이엘피,,2026,국비,산업통상자원부,[IRIS 사업] 유리기반마이크로OLED디스플레이기술개발,R&D,,,KEIT 산업기술 R&D 과제현황(공공데이터포털),https://www.data.go.kr/data/15018033/fileData.do,20260721
c3946,이레산업(주),,2026,국비,산업통상자원부,[IRIS 사업] 주력산업IT융합,R&D,,,KEIT 산업기술 R&D 과제현황(공공데이터포털),https://www.data.go.kr/data/15018033/fileData.do,20260721
c9335,이노알앤씨,,2026,국비,산업통상자원부,[IRIS 사업] 신산업대응차세대공통·핵심뿌리기술개발,R&D,,,KEIT 산업기술 R&D 과제현황(공공데이터포털),https://www.data.go.kr/data/15018033/fileData.do,20260721
,유성정밀공업(주),,2026,국비,중소벤처기업부,지역기업 역량강화,R&D,,,중소벤처기업부 중소기업기술개발과제정보(공공데이터포털),https://www.data.go.kr/data/3044610/fileData.do,20260831
c10337,유니테크,,2026,국비,산업통상자원부,[IRIS 사업] 패키지형,R&D,,,KEIT 산업기술 R&D 과제현황(공공데이터포털),https://www.data.go.kr/data/15018033/fileData.do,20260721
x4699,유니바,,2026,국비,산업통상자원부,[IRIS 사업] AI응용제품신속상용화지원사업,R&D,,,KEIT 산업기술 R&D 과제현황(공공데이터포털),https://www.data.go.kr/data/15018033/fileData.do,20260721
,윈테크,,2026,국비,산업통상자원부,[IRIS 사업] 주력산업IT융합,R&D,,,KEIT 산업기술 R&D 과제현황(공공데이터포털),https://www.data.go.kr/data/15018033/fileData.do,20260721
x4706,위인터랙트(주),,2026,국비,중소벤처기업부,신진연구인력채용지원(참여기업접수용),R&D,,,중소벤처기업부 중소기업기술개발과제정보(공공데이터포털),https://www.data.go.kr/data/3044610/fileData.do,20260831
c8595,위니텍,,2026,국비,행정안전부,[IRIS 사업] 지역수요맞춤형문제해결기술개발,R&D,,,KEIT 산업기술 R&D 과제현황(공공데이터포털),https://www.data.go.kr/data/15018033/fileData.do,20260721
c8595,위니텍,,2026,국비,산업통상자원부,[IRIS 사업] 위험물시설화재·폭발사고예방및대응기술개발,R&D,,,KEIT 산업기술 R&D 과제현황(공공데이터포털),https://www.data.go.kr/data/15018033/fileData.do,20260721
x4810,웨이온 주식회사,,2026,국비,중소벤처기업부,고경력연구인력채용지원(참여기업접수용),R&D,,,중소벤처기업부 중소기업기술개발과제정보(공공데이터포털),https://www.data.go.kr/data/3044610/fileData.do,20260831
,우진엔지니어링,,2026,국비,산업통상자원부,[IRIS 사업] AI응용제품신속상용화지원사업,R&D,,,KEIT 산업기술 R&D 과제현황(공공데이터포털),https://www.data.go.kr/data/15018033/fileData.do,20260721
x4801,우리아이씨티,,2026,국비,산업통상자원부,[IRIS 사업] 위험물시설화재·폭발사고예방및대응기술개발,R&D,,,KEIT 산업기술 R&D 과제현황(공공데이터포털),https://www.data.go.kr/data/15018033/fileData.do,20260721
x4381,와이피알이엠티 주식회사 대구지점,,2026,국비,중소벤처기업부,주력산업 생태계 구축,R&D,,,중소벤처기업부 중소기업기술개발과제정보(공공데이터포털),https://www.data.go.kr/data/3044610/fileData.do,20260831
c9862,옵티머스시스템(주),,2026,국비,산업통상자원부,[IRIS 사업] 제조암묵지기반AI모델개발(R&D),R&D,,,KEIT 산업기술 R&D 과제현황(공공데이터포털),https://www.data.go.kr/data/15018033/fileData.do,20260721
c5256,오큐브,,2026,국비,산업통상자원부,[IRIS 사업] SBOM등글로벌규제대응을위한AI기반자동차원격업데이트(OTA)보안성검증시스템개발,R&D,,,KEIT 산업기술 R&D 과제현황(공공데이터포털),https://www.data.go.kr/data/15018033/fileData.do,20260721
c5256,오큐브,,2026,국비,산업통상자원부,[IRIS 사업] AI응용제품신속상용화지원사업,R&D,,,KEIT 산업기술 R&D 과제현황(공공데이터포털),https://www.data.go.kr/data/15018033/fileData.do,20260721
c3873,오성테크,,2026,국비,산업통상자원부,[IRIS 사업] 그린카,R&D,,,KEIT 산업기술 R&D 과제현황(공공데이터포털),https://www.data.go.kr/data/15018033/fileData.do,20260721
x3561,옐로시스 주식회사,,2026,국비,산업통상자원부,[IRIS 사업] 디자인혁신역량강화,R&D,,,KEIT 산업기술 R&D 과제현황(공공데이터포털),https://www.data.go.kr/data/15018033/fileData.do,20260721
,엠엔비젼,,2026,국비,산업통상자원부,[IRIS 사업] 제조암묵지기반AI모델개발(R&D),R&D,,,KEIT 산업기술 R&D 과제현황(공공데이터포털),https://www.data.go.kr/data/15018033/fileData.do,20260721
,엘앤에프,,2026,국비,산업통상자원부,[IRIS 사업] 급속충전용내구성고안전리튬이온이차전지소재및셀개발,R&D,,,KEIT 산업기술 R&D 과제현황(공공데이터포털),https://www.data.go.kr/data/15018033/fileData.do,20260721
,엘앤에프,,2026,국비,산업통상자원부,[IRIS 사업] 글로벌우수기업연구소육성(GATC),R&D,,,KEIT 산업기술 R&D 과제현황(공공데이터포털),https://www.data.go.kr/data/15018033/fileData.do,20260721
x3896,엔티엠,,2026,국비,산업통상자원부,[IRIS 사업] 그린카,R&D,,,KEIT 산업기술 R&D 과제현황(공공데이터포털),https://www.data.go.kr/data/15018033/fileData.do,20260721
x4240,에이치에스소프트(주),,2026,국비,산업통상자원부,[IRIS 사업] 패키지형,R&D,,,KEIT 산업기술 R&D 과제현황(공공데이터포털),https://www.data.go.kr/data/15018033/fileData.do,20260721
c8084,에이치씨엔씨,,2026,국비,산업통상자원부,[IRIS 사업] 조선해양산업핵심기술개발,R&D,,,KEIT 산업기술 R&D 과제현황(공공데이터포털),https://www.data.go.kr/data/15018033/fileData.do,20260721
c8084,에이치씨엔씨,,2026,국비,산업통상자원부,[IRIS 사업] 조선소중대형블록지능형핸들링및취부/용접기술개발,R&D,,,KEIT 산업기술 R&D 과제현황(공공데이터포털),https://www.data.go.kr/data/15018033/fileData.do,20260721
c7522,에이치시티,,2026,국비,산업통상자원부,[IRIS 사업] 국가전략기준물질개발,R&D,,,KEIT 산업기술 R&D 과제현황(공공데이터포털),https://www.data.go.kr/data/15018033/fileData.do,20260721
c9859,에이치디현대로보틱스(주),,2026,국비,산업통상자원부,[IRIS 사업] 조선해양산업핵심기술개발,R&D,,,KEIT 산업기술 R&D 과제현황(공공데이터포털),https://www.data.go.kr/data/15018033/fileData.do,20260721
