no,ministry,bureau,name,code,account,new_or_continue,support_type,subsidy_rate,executor,beneficiary,period,total_cost,budget_2025,budget_2026,cost_5y,budget_nums,daegu_mention,region_scope,purpose,history,basis,page,source
116,과학기술정보통신부,연구개발정책실,디지털 AI 세포 구축,1138-482,일반회계,,,,과학기술정보통신부(전문기관: 한국연구재단),산·학·연·병,`26~`30,375억원,0,3750,"- - - - 3,750",,,전국,,- 국정과제 「국정28」세계를 선도할 넥스트(NEXT) 전략기술 육성,,922,국가AI전략위 AI 예산사업 통합 설명자료(2026.3)
117,과학기술정보통신부,정보통신정책관,디지털 질서 기반 구축 및 글로벌 확산 지원,2033-371,일반회계,,,,"한국지능정보사회진흥원, 정보통신정책연구원, 정보통신산업진흥원,",,‘24년 ~ 계속,해당없음,5757,27643,"- - 3,800 5,757 27,643",,,,,"- 931 - - 2022 년 ⦁9월 : 관계부처 합동「대한민국 디지털 전략」수립 ․ 발표, UN-ESCAP 아태 디지털 장관회의 의장성명문 발표 ⦁11월 : B20 SUMMIT ⦁12월 : 범부처 디지털 전략반 회의 개최, OECD 디지털 경제 장관회의 포럼 - 2023 년 ⦁3월 : 디지털 신질서 정립 협의체 발족 및 1차 회의 개최 ⦁5월 : ‘새로운 디지털 질서 정립 방안’ 국무회의 보고 ⦁9월 : 디지털 공동번영 사회의 원칙과 가치에 관한 헌장(디지털 권리장전) 수립 ⦁10월 : UN GDC(UN 차원의 디지털 규범) 아태지역 의견 수렴 회의 개최 ⦁11월 : OECD 디지털 권리 워크숍 개최 및 OECD 內 디지털 규범 논의체 신설 협의 , 제1차 관계부처 회의 및 디지털 심화 쟁점 실태조사 실시(전 부처) 년 - 2024 ⦁1월 : 제2차 ‘새로운 디지털 질서’ 정립 관계부처 회의 개최(전 부처) ⦁4월 : 추진계획 마련을 위한 ‘제3차 관계 부처 회의’ 개최(전 부처)",,928,국가AI전략위 AI 예산사업 통합 설명자료(2026.3)
118,과학기술정보통신부,인공지능정책기획관,디지털 혁신 기술 기반 K-CareNetwork,2233-336,일반회계,,,,정보통신산업진흥원,"의료기관, 디지털치료기기 개발사 등 ICT 기업",’24년 ~ ’27년,해당 없음,6000,5600,"- - 4,000 6,000 5,600","4,000|6,000|6,000|5,600|5,600|400|6",,,,"- ‘19.12 월 : 인공지능 국가전략 발표 - ‘21.01 월 : 과학기술정보통신부 2021년도 업무계획 ‣ 전략 ( 2.3) · 디지털을 전산업 사회로 확산(닥터앤서 2단계 사업착수(‘21~’24년)) - ‘21.01 월 : 제3차 혁신성장 전략 정책 점검 회의 · ‣ AI · · 기술로 암 당뇨 간질환 등을 정확히 진단하는 ‘닥터앤서2.0(280억원)’ 투자 - ‘22.12 : 新성장 4.0 전략 추진 계획 (관계부처합동) ‣ 新일상 · · · ( ) Digital Everywhere 내 삶 속의 디지털) 공공 지역 의료기관 대상 AI-SW 적용 확산 등 AI 제품 서비스 개발 보급 - ( - ‘23.1 : 제2차 인공지능 일상화 및 산업 고도화 계획 (국가데이터정책위원회) - 942 - ‣국민 일상생활 행정･입법･사법 등 공공영역 전산업 분야로 인공지능 전면 확산 , ,  독거노인･장애인 등 취약계층을 보살피고 민생현안 해결을 위해 상용 제품･서 AI 및 서비스를 국민 생",,940,국가AI전략위 AI 예산사업 통합 설명자료(2026.3)
119,과학기술정보통신부,전파정책국,디지털미디어이노베이션기술개발(R & D ),1131-520,일반회계,,,,정보통신기획평가원,방송미디어 분야 산 학 연 등 · ·,`26 ~ 계속*,,,,"7,240","7,240|7,240|7,240",,,,"사업 시작년도 추진배경 부처별 중점과제 대통령 공약사항 등 - , , , ㅇ ‘24. 1~3월 : 부처 고유임무 R&D 사업에 대한 예타 수요 제출 추 ㅇ ‘24. 4월 : 부처고유임무형 예타사업 후보 결정 통보 진 경 ㅇ ‘24. 4월~12월 : 사업기획 위 ㅇ ’24. 11월 : ‘24년도 제3차 국가연구개발사업 예비타당성조사 대상선정 통보 ㅇ ‘24. 12월~’25. 6월. : 예비타당성조사 대응 조사통과(시행)",,947,국가AI전략위 AI 예산사업 통합 설명자료(2026.3)
120,과학기술정보통신부,정보통신정책실,디지털배움터(세종),1945-304,지역균형발전,,,80,세종특별자치시,전 국민,’26년 ~ 계속,해당없음,0,816,- - - - 816,816|816|816,,전국,,ㅇ 2025년 : 국정과제 21번(세계에서 AI를 가장 잘 쓰는 나라 구현),,953,국가AI전략위 AI 예산사업 통합 설명자료(2026.3)
121,과학기술정보통신부,정보통신정책실,디지털배움터(자율),1945-302,지역균형발전,,,80,"15개 광역시·도(세종, 제주 제외)",전 국민,’26년 ~ 계속,해당없음,0,38121,"- - - - 38,121","38,121|38,121|38,121",,전국,,ㅇ 2025년 : 국정과제 21번(세계에서 AI를 가장 잘 쓰는 나라 구현),"□ 디지털배움터(자율) : (2025 본예산) 0백만원 → (2026 예산) 38,121백만원 ① 디지털배움터 운영 : (2025 본예산) 0백만원 → (2026 요구) 38,121백만원, 신규 - (요구) 지자체 디지털배움터 운영 수요에 따른 예산 요구(지자체 자율편성) - (산출) 15개 광역지자체 38,121백만원(세종, 제주 제외)",959,국가AI전략위 AI 예산사업 통합 설명자료(2026.3)
122,과학기술정보통신부,정보통신정책실,디지털배움터(제주),1945-302,지역균형발전,,,80,제주특별자치도,전 국민,’26년 ~ 계속,해당없음,0,2169,"- - - - 2,169","2,169|2,169|2,169",,전국,,ㅇ 2025년 : 국정과제 21번(세계에서 AI를 가장 잘 쓰는 나라 구현),"□ 디지털배움터(제주) : (2025 본예산) 0백만원 → (2026 예산) 2,169백만원 ① 디지털배움터 운영 : (2025 본예산) 0백만원 → (2026 요구) 2,169백만원, 신규 - (요구) 지자체 디지털배움터 운영 수요에 따른 예산 요구(지자체 자율편성) - (산출) 제주특별자치도 2,169백만원",965,국가AI전략위 AI 예산사업 통합 설명자료(2026.3)
123,과학기술정보통신부,산업정책관,디지털분야글로벌인재양성,2137-308,,,,,정보통신기획평가원,"ICT분야 국내 대학, 국내 대학원생 등",2024~2028,해당없음,,,"8,000 12,000 12,000",,,,,"- ‘22. 8월 : 디지털 인재양성 종합방안(관계부처 합동) - ‘22. 9월 : 글로벌 디지털 격차 해소(뉴욕 구상, 디지털 비전 포럼) - ‘22. 11월 : 한국판 인도-태평양 전략(한-아세안 정상회의) - ‘22. 12월 : 제5차 과학기술기본계획(안)(관계부처 합동) - ‘22. 12월 : 경제협력개발기구(OECD) 디지털 장관회의 - ‘23. 2월 : 제2차 한-아세아 디지털 장관회의(과기부)",,971,국가AI전략위 AI 예산사업 통합 설명자료(2026.3)
124,과학기술정보통신부,산업정책관,디지털선도기술핵심인재양성(R&D),2133-301,고등·평생교육,,,,"(전문기관) 정보통신기획평가원, (주관연구개발기관) 대학(원) 등","ICT분야 대학, 대학(원)생 등",’24년~ 계속,해당 없음,49206,59529,"- - 47,890 49,206 59,529","47,890|49,206|49,206|58,206|59,529|10,323|20",,,,"- ’14. 2월 : 정보통신기술인력양성사업 시행계획(미래창조과학부) - ’15. 3월 : K-ICT전략발표(미래창조과학부) - ’17. 11월 : 혁신성장을 위한 사람중심의 ’4차 산업혁명 대응계획(관계부처 합동) - ’19. 8월 : 혁신성장 확산·가속화 전략(과학기술정보통신부) - ’20. 1월 : 정보통신기술인력양성사업, 인공지능핵심인재양성 등 ICT 석․박사 인재 양성사업 통합, 정보통신방송혁신인재사업 시행 - 981 - - ’20. 7월 : 한국판 뉴딜 2.0.(관계부처 합동) - ’21. 4월 : BIG3+인공지능 인재양성 방안(관계부처 합동) - ’21. 6월 : 민·관 협력 기반의 소프트웨어 인재양성 대책(관계부처 합동) - ’22. 8월 : 디지털 인재양성 종합방안(관계부처 합동) - ’22. 9월 : 대한민국 디지털 전략(관계부처 합동) - ’24. 1월 : 정보통신방송혁신인재양성(방송통신발전기금) 4개 내내역사업 이관 ※ 대상 : ICT명품인재양성, 학·석사연계",,979,국가AI전략위 AI 예산사업 통합 설명자료(2026.3)
125,과학기술정보통신부,정보통신정책실,디지털역량강화교육,1945-301,지역균형발전,,,,"(출연) 한국지능정보사회진흥원, 한국과학창의재단,","장애인, 고령층 등을 포함한 전 국민",’24년 ~ 계속,해당없음,38665,14102,"- - 35,685 38,665 14,102","35,685|32,085|38,665|14,102|14,102|17,983|56",,전국,,"- 2000년 :「1,000만 정보화교육계획」수립․추진(1,380만명 교육) - 2001년 : ‘정보격차해소에 관한 법률’ 제정, 13개 부처 합동 종합계획(’01~’05) 수립 - 2005년 :「제2차 정보격차해소종합계획」(’06~’10) 수립(’05.12) - 2009년 : 지방업무에 대해 체신청에서 16개 광역자치단체로 이관운영 - 2011년 : 취약계층 집합정보화교육사업 국고보조사업으로 전환 - 2020년 : 혁신적 포용국가 실현을 위한 범부처 ‘디지털 포용 추진계획’ 수립(‘20.6) - 2024년 : 디지털역량함양지원 사업 균형발전 특별회계로 이전(디지털격차해소기반 → 조성 디지털역량강화 교육) - 2025년 : 국정과제 21번(세계에서 AI를 가장 잘 쓰는 나라 구현)","□ 디지털 역량함양 지원 : (2025 추경) 38,665백만원 → (2026 예산) 14,102백만원 (2025 본예산 32,085백만원 → 제1회 추경 32,085백만원 → 제2회 추경 38,665백만원) ① 디지털역량함양지원 : (2025 추경) 38,665백만원 → (2026 예산) 11,112백만원, 27,553백만원 감액 - (요구) 키오스크·금융·교통부터 AI 서비스 활용까지 경제·사회활동에 필요한 AI·디지털 역량 교육 제공하기 위한 예산 요구 - (산출) 디지털 교육 콘텐츠 개발·보급 : 2종 x 50백만원 = 100백만원 디지털 역량교육 통합 플랫폼 운영 : 12개월 × 55.2백만원 = 663백만원 장애인 집합 정보화교육 : 53개소 x 2.351백만원 x 9개월 x 50% = 560백만원 장애인 방문 정보화교육 : 2,200명 × 1.08백만원 = 2,376백만원 ICT 경진대회 : 1식 × 243백만원 = 243백만원 장애인 정보화 상담실 운영 : 12개월 × 22.5백만원 = 270백만원 디지털역량지원센터 운영 : 1식 x 300백만원 = 300백만원 웹기반 AI교육 콘텐츠 개발·보급 : 200만명x0.024백만원 = 4,800백만원 AI 기초역량 콘텐츠 개발·보급 : 20종 × 50백만원 = 1,000백만원 디지털 튜터 양성교육 : 1,000명 × 0.8백만원 : 800백만원 ② 우리의 AI러닝 : (2026 예산) 2,990백만원, 신규 - (요구) 전 국민이 언제 어디서나 양질의 AI 교육을 받을 수 있도록 교육 기반 구축·확산을 위한 예산 요구 - (산출) 우리의 AI 러닝 플",987,국가AI전략위 AI 예산사업 통합 설명자료(2026.3)
126,과학기술정보통신부,정책관,디지털전문·융합인재양성,2232-325,,,,,정보통신기획평가원(IITP)·정보통신산업진흥원(NIPA),"대학 재학생·졸업(예정)자, 청년 미취업자(만34세 이하), 非ICT산업체 ·ICT전문인력, 디지털콘텐츠 산업계 현업인·석(박)사",’10년 ~ 계속,,55752,91188,"108,215 111,601 81,858 55,752 91,188",,,,,"- 사업 시작년도, 추진배경, 부처별 중점과제, 대통령 공약사항 등 - ’11. 4월 : 대학ICT교육 개선방안 발표(잘만 가르쳐도 IT일자리 3만개 창출) - ’12. 3월 : ICT인력양성사업 시행계획 - ’13. 10월 : 소프트웨어 혁신전략 발표(국무회의) - ’14. 2월 : ICT인력양성사업 시행계획(미래창조과학부) - ’14. 3월 : 경제혁신 3개년 계획 세부 실행과제 발표(경제관계장관회의) - ’14. 7월 : 소프트웨어 중심사회 실현전략(관계부처합동) - ’15. 3월 : K-ICT전략발표(미래창조과학부) - ’15. 7월 : SW중심사회를 위한 인재양성 추진계획(국무회의) - ’17. 11월 : 혁신성장을 위한 사람중심의 ‘4차 산업혁명 대응계획’(관계부처 합동) - ’17. 12월 : 과학기술․ICT기반 일자리 창출 방안(관계부처 합동) - ’18. 3월 : 청년일자리대책(제5차 일자리위원회) - ’18. 8월 : 혁신성장 전략투자 방향(혁신성장관계장관회의) -",,995,국가AI전략위 AI 예산사업 통합 설명자료(2026.3)
127,과학기술정보통신부,소프트웨어정책관,디지털트윈 융합 의료혁신 선도사업,2033-304,지역균형발전,,,,정보통신산업진흥원,의료기기 기업 및 의료기관 등,2024년 ~ 2028년,,1680,2400,"- - 2,400 1,680 2,400",,,지역지정,,"- 균형발전 지역공약, ’22.4월 □ 강원도 7대 공약 및 15대 정책과제 Ⅲ. 권역별 특화 신산업 육성 6. 디지털헬스케어 메카 육성 - 바이오헬스 신시장 창출 전략, ’23.2월, 관계부처 합동 데이터·인공지능을 활용한 의료기술 개발 ➊ (의료) 임상 수요에 대응한 인정기능 기술 개발 지원 ㅇ (메타버스·메디컬트윈) 가상환경 기반 진단, 치료 등 의료서비스 기술 및 데이터 기반 임상시험이 가능한 메디컬 트윈 기술 개발 - (현정부 123대 국정과제 전략, ’25.08월, 국정기획위원회) □ 국정목표 : 세계를 이끄는 혁신경제 1. AI 3대 강국 도약, (23) 안전과 책임 기반의 ‘AI 기본사회’ 실현 - 1015 -",,1010,국가AI전략위 AI 예산사업 통합 설명자료(2026.3)
128,과학기술정보통신부,정책관,디지털헬스케어기반 AI 융합혁신 허브 조성,2232-305,지역균형발전,,,,첨단의료건강산업특구 관할 지자체 및 지역SW산업진흥원,"첨단의료건강산업특구 디지털헬스케어 제조기업 및 관련 대학, 병원",2026 ∼ 2030년(5년),해당없음,0,3500,"- - - - 3,500","3,500|3,500",,,,"사업 시작년도 추진배경 부처별 중점과제 대통령 공약사항 등 - , , , ㅇ 국정과제 『AI 활용 확대를 통한 전 산업‧지역 AI 확산』 - [경2-3] ‘세계에서 AI를 가장 잘 쓰는 『AI 기본사회』 실현","□ 디지털헬스케어기반 AI 융합혁신 허브 조성 : (2025) - → (2026요구) 3,500백만원, 순증 - (요구) 디지털 헬스케어 기반 버티컬 AI 및 피지컬 AI·로보틱스 심화 교육을 통해 지역 인재 육성 및 디지털헬스 케어 기반 AI융합혁신 생태계 조성을 위한 3,500백만원 요구 - (산출) 1개 지역 x 3,500백만원 = 3,500백만원",1020,국가AI전략위 AI 예산사업 통합 설명자료(2026.3)
129,과학기술정보통신부,정보통신정책실,디지털혁신기술국제공동연구(R&D),2132-353,일반회계,,,,정보통신기획평가원,"대학, 연구기관, 기업 등",’24 ~ ‘28,해당없음,6460,9751,"- - 2,930 6,460 9,751","2,930|6,460|9,751|9,751|3,291|50",,전국,,"【 추진배경】 ○ 글로벌 기술패권 경쟁의 심화로 인해 디지털 첨단기술 확보 여부가 경제·안보로 직결되는 만큼 전략기술에 대한 기술 외교 역량이 어느 때보다 중요한 시점 ○ 디지털 혁신기술에 대한 글로벌 우위 선점 및 전략적 동반자 관계 강화를 위한 ICT 국제공동 R&D 신규 투자 필요 ○ 국정과제 23. 국민의 안전과 보편적 삶의 질 제고를 위한 ‘AI 기본사회’ 실현 - 관련공약(A-1-2) 글로벌 AI 이니셔티브 전략 추진 【 추진경과】 ○ 미국 - (‘76. 11 월) 과학기술협력협정 체결 - (‘16. 9 월) 제3차 한-미 ICT 정책포럼 개최 및 공동연구ToR* 체결( 美 워싱턴 , DC) * 美 미래부- 공군과학연구실간 사이버보안 공동연구 협력약정(ToR) 체결 - (‘21. 5 월) 한-미 정상회담 공동성명(6G, AI, 양자정보통신 등 신흥기술분야 협력) - (‘21.11 월) 제6차 한-미 ICT 정책포럼 개최(서울) * AI, · · 사이버보안 정책, 신흥기술 ",,1025,국가AI전략위 AI 예산사업 통합 설명자료(2026.3)
130,과학기술정보통신부,정책관,미래 디지털인재양성 및 저변확대,2232-326,,,,,"한국과학창의재단, 정보통신기획평가원, 한국지능정보사회진흥원",,2014년 ∼ 계속,해당없음,7411,23924,"4,172 4,697 9,625 7,411 23,924",,,,,"○ 초‧중등 기초역량 강화지원 사업 참여기관으로 지정수탁 SW 과기정통부 (‘14.5, ) ○ 중심사회 실현 전략 보고회 를 통한 교육 의무화 ‘SW 관계부처 합동 ’ SW (`14.7, ) ○ 문･이과 통합형 교육과정에 초･중등 교육 강화 방안 반영 교육부 2015 ‘ SW ’ (`14.9, ) ○ 교육 운영 지침 개발 및 보급 ‘SW 교육부 ’ (‘15.2, ) ○ 중심사회를 위한 인재양성 추진계획 발표 ‘SW 과기정통부･교육부 ’ (`15.7, ) ○ 개정 교육과정을 통해 교육 필수화 확정 2015 교육부 SW (`15.9, ) ○ 초･중등 인재저변확충사업 주관기관 전환 과기정통부 SW (`16, ) ○ 교육 활성화 기본계획 발표 SW 과기정통부･교육부 (`16.12, ) ○ 초등학교 학년 년 및 중학교 년 정규교육과정 내 교육 필수화 5~6 (‘19 ~) (’18 ~) SW ○ 인공지능 국가전략 발표 관계부처 합동 (`19.12, ) - 1042 - ○ 과학·수학·정보·융합 ",,1036,국가AI전략위 AI 예산사업 통합 설명자료(2026.3)
131,과학기술정보통신부,연구개발정책실,민관협력 기반 AI 휴머노이드 원천기술 고도화(R&D),1159-447,일반회계,,,,한국연구재단,"대학, 출연연, 기업 등",‘26 ~ ’30(5년),,0,6400,"- - - - 6,400","6,400|6,400|6,400|1050",,전국,,- AI 휴머노이드 원천기술 개발 과제 기획('24.11~‘25.4) - 국가첨단전략기술 지정 등에 관한 고시(’25.5) ▶ 로봇 분야 신규 지정 “ “,,1050,국가AI전략위 AI 예산사업 통합 설명자료(2026.3)
132,과학기술정보통신부,연구개발정책실,바이오·의료기술개발(R&D),1138-401,일반회계,,,,"한국연구재단, 한국보건산업진흥원",산·학·연·병 연구자 및 일반 국민,’04~계속,,361072,442976,"243,837 230,229 304,292 361,072 442,976","304,292|361,072|361,072|434,276|442,976|81,904|22",,전국,,"- ‘04년 국책연구개발사업에서 분리되어 나노․바이오기술개발사업으로 추진 - ‘07년 나노․바이오사업에서 바이오기술개발사업으로 분리 추진 - ’09년부터 기존 바이오기술개발사업, 나노기술개발사업을 미래기반기술개발사업으로 통합 - ’11년부터 미래기반기술개발사업 내 바이오분야와 바이오신약장기사업을 통합 하여 바이오·의료기술개발사업으로 사업 개편 - ‘12년부터 연구소재지원사업이 바이오·의료기술개발사업으로 통합 - ’13년부터 범부처전주기신약개발사업(‘12년 100억원) 예산과목 분리 - ‘14년부터 포스트게놈신산업육성을 위한 다부처 유전체사업(’13년 70억원) 예산과목 분리 - ‘17년부터 신시장창조 차세대의료기기개발사업 및 첨단바이오의약품글로벌진출 사업을 바이오․의료기술개발사업으로 이관 - ‘18년부터 미래감염병기술개발, 바이오융복합기술개발, 미래의료혁신대응기술개발, 첨단GW바이오기술개발 내역분리 - ‘21년부터 혁신신약파이프라인발굴, 인공지능신약개발플랫폼구축사업, 가속기기반 - ",,1055,국가AI전략위 AI 예산사업 통합 설명자료(2026.3)
133,과학기술정보통신부,,반도체원천기술개발사업(R&D),1139-453,일반회계,,,,"한국연구재단, 나노종합기술원","대학, 출연연, 기업 등",’22 ~ ’30(9년),해당없음,65011,68808,"7,500 28,275 40,707 65,011 68,808",,,전국,,"- 종합 반도체 강국 실현을 위한 K-반도체 전략(‘21.5.) ㅇ 차세대 전력 반도체 소자 및 Epi 소재 원천기술 확보 - 3대 주력기술(반도체, 디스플레이, 차세대전지) 전략(’23.4.) ㅇ (반도체 미래기술 로드맵) 미래 유망 소자 연구를 통한 기술 선점 - AI-반도체 이니셔티브(’24.4.) ㅇ (AI-반도체 이니셔티브) AI-반도체 초격차·신격차 확보 < 추진경과 > ㅇ ’22년도 신규사업(1개) 확정(차세대화합물반도체핵심기술개발) ㅇ ’23년도 신규사업(2개) 확정(국가반도체연구실지원핵심기술개발, 반도체설계검증인프라활성화) ㅇ ’24년도 신규사업(4개) 확정(반도체첨단패키징핵심기술개발, 차세대반도체대응미세 기판기술개발, 차세대반도체장비원천기술개발, 반도체글로벌첨단팹연계활용사업) ㅇ ’25년도 신규사업(2개) 확정(차세대광패키징기술개발, 초고집적반도체용vdW소재및공정기술개발) ㅇ 차세대화합물반도체핵심기술개발 등 반도체 분야 9개 사업 2026년 예산 과목 구조 개편을 ",,1066,국가AI전략위 AI 예산사업 통합 설명자료(2026.3)
134,과학기술정보통신부,정책관,범정부 인공지능 공통기반 구현(정보화),1943-301,일반회계,,,,"과학기술정보통신부, 한국지능정보사회진흥원","정부부처, 공공기관, 기업, 일반국민 등",'25 ~ 계속,해당 없음,4472,14558,"- - - 4,472 14,558","4,472|4,472|14,558|14,558|10,086|225",,전국,,- ’19.12. : 인공지능(AI) 국가전략 발표(관계부처 합동) - ’23.04. : 초거대 인공지능 경쟁력 강화 방안(과기정통부) - ‘23.09. : 전국민 AI 일상화 실행계획 수립(관계부처 합동) ※ 전략3 : AI를 가장 잘 사용하는 똑똑한 정부를 만들겠습니다. - ‘25.08. : 이재명 정부 123대 국정과제 – 국정기획위원회 국민보고대회 (AI 3 대 강국 도약),,1077,국가AI전략위 AI 예산사업 통합 설명자료(2026.3)
135,과학기술정보통신부,정보통신정책실,복합지능 자율행동체 SW 핵심기술개발(R&D),2132-364,일반회계,,,,정보통신기획평가원,로봇 관련 산ㆍ학ㆍ연 등,‘24 ~ ’27년,,6000,7333,"- - 3,000 6,000 7,333","3,000|6,000|6,000|7,333|7,333|1,333|22",,,,"- 기술패권경쟁에 대응하여 12대 국가전략기술에 대한 투자확대(민간 수요연계형 초격차 핵심기술에 지속 투자하여 선도국 지위 유지, 차세대 기술 조기확보 및 산업 활용 ‧ 확산을 통해 인공지능 강국 도약, ‘24년도 국가연구개발투자방향 및 기준(안), ‘23.3.9) - 1084 - - 복합지능자율행동체SW핵심기술개발사업 신규사업 사전 기획(’23.1) - 복합지능자율행동체SW핵심기술개발사업 신규사업 과제기획위원회(‘23.9) - 제4차 지능형 로봇 기본계획(‘24.1) - AI-반도체 이니셔티브(‘24.4) - 국정과제(국정22. 초격차 AI 선도기술 인재 확보) ·",,1083,국가AI전략위 AI 예산사업 통합 설명자료(2026.3)
136,과학기술정보통신부,연구개발정책실,불법 마약류 대응을 위한 현장기술 개발(R&D),1531-432,일반회계,,,100,(재)과학치안진흥센터,"국민, 현장 경찰관, 대학, 출연연, 기업 등",’26~’28,,0,1872,"- - - - 1,872","1,872|1,872|1,872",,전국,,"- ’23. 4. ~ ’25. 12.: 미래치안도전기술개발(핵심원천) 선행연구를 통한 기초원천기술 공동 개발 * * 과기정통부-경찰청 협업사업(수행과제명: 다크웹 범죄예방을 위한 능동형 다크웹 정보 수집 및 분석·추적 기술개발) - ’25. 4. 11.: 과기정통부-경찰청 협력 확대 방안 검토 회의 * 기존 경찰청 단독으로 추진 예정이던 다크웹 및 가상자산 거래추적 연계 마약수사통합 시스템 개발 사업을 효율적인 사업추진을 위해, 1:1 협업 추진하는 방향으로 협의","① 다크웹 및 가상자산 거래추적 연계 마약수사통합시스템 개발 - (’26) 1개 과제 × 4,800백만원 × 9/12개월 × ･ 50%(경찰청 과기정통부 1:1) ② 기획평가관리비 - (’26) - ’26년 관리대상 1,800백만원 × 4%",1089,국가AI전략위 AI 예산사업 통합 설명자료(2026.3)
137,과학기술정보통신부,,빅데이터 기반 생활전자파 예측 기술개발(R&D),2535-318,일반회계,,,,"과학기술정보통신부 국립전파연구원, 정보통신기획평가원","이동통신 사업자, 전자파 측정기관(국가, 공공기관), 일반 국민 등",’22~’26,해당없음,1600,1600,"1,000 1,100 930 1,600 1,600","930|1,600|1,600|1,600",,전국,,"사업 시작년도 추진배경 부처별 중점과제 대통령 공약사항 등 - , , , - 2018. 05 : 「인공지능(AI) R&D 전략」 수립, AI 기술 자체를 인재, 기반(인프라) 분야 · 중심*으로, 기술 파급력이 높은 일부 서비스 산업분야 AI개발을 추진 * (기술) 인지, 학습 등을 위한 AI SW, AI 성능향상을 위한 HW, AI이론기반을 제공하는 기초과학 분야, (인재) AI개발 핵심 인재양성 등, (기반) 데이터, 컴퓨팅 파워 제공 등 ※ 전략목표(’22년) : 세계 4대 AI 강국 도약, 우수 인재 5천여 명 확보, AI 데이터 1.6억 여 건 구축 - 2019. 01 : 제3차 「전파진흥기본계획 (’19~’23)」 수립, ‘혁신적인 전파활용으로 열어가는 초연결 지능화 사회’ 라는 비전 하에 4대 분야* 11개 중점 과제로 구성 * (제도) 융합·혁신 패러다임에 부응하는 제도틀 마련, (산업) 전파기반 산업의 활력제고, (자원) 초연결 혁신성장을 위한 전파자원공급, (환경)","① 전자파 빅데이터 분석 관리 플랫폼 개발 : 350백만원 - (산출) 실내외 환경의 측정데이터 확보), 실측데이터 DB화, 측정데이터 분석 및 시각화 등 빅데이터 분석 관리 플랫폼 개발 350백만원 ② 인공지능 기반 전자파 예측 알고리즘 개발 및 향상 연구 : 1,200백만원 - (산출) 건물 내부의 전자파 분석 및 데이터 처리결과와 예측 알고리즘과의 연동, 실외 환경의 지형데이터 처리, 3D 건물 데이터 처리 등 전자파 예측 알고리즘 개발 및 향상 연구 1,200백만원 ③ 예측 기술을 이용한 전자파 인체노출량 평가제도 연구 : 50백만원 - (산출) 실내환경의 측정데이터 및 예측 결과 등의 타당성 검증 50백만원",1096,국가AI전략위 AI 예산사업 통합 설명자료(2026.3)
138,과학기술정보통신부,정책관,사람중심인공지능핵심원천기술개발,2601-312,일반회계,,,,한국연구재단 부설 정보통신기획평가원,산 학 연 기타 · · ·,2022 ~ 2026,,42860,42860,"37,125 49,850 45,075 42,860 42,860",,,,,": 이재명 정부 국정과제 22번 초격차 AI 선도기술 인재 확보｢ ‧ ｣ - “I-Korea 4.0 실현을 위한 인공지능(AI) R&D 전략” 발표(4차산업혁명위원회, ‘18.5) ※ 기술력 세계적 수준의 ( ) AI 기술 확보 개요) 세계적 수준의 인공지능 기술력 및 R&D 생태계 확보(향후 5년간(’18 - ( ∼ ’22) 2.2 조원 투자) - 데이터AI 경제 활성화 계획 발표(2019년 제3차 경제관련장관회의(관계부처합동), `19.1월) 전략2. 세계적 수준의 AI 혁신 생태계 조성] □ [ 차세대 AI 핵심 기술 확보 ㅇ 알고리즘(딥러닝 진화) 한계를 극복하기 위해, 강화학습 AI, 공정한 AI 프레임워크 등 차세대 AI 기술개발을 신규 추진하고, 미국, 유럽 등 해외 선도국과의 국제공동연구를 강화 * ①인간의 뇌의 동작 원리를 모사한 강화학습 기술개발, ② 편향적으로 구축된 데이터를 공정하게 학습하는 AI프레임워크 등 - “인공지능 국가전략” 발표(제27차 경제활력대책회",,1104,국가AI전략위 AI 예산사업 통합 설명자료(2026.3)
139,과학기술정보통신부,정보통신정책실,생성AI선도인재양성,2232-314,일반회계,,,,정보통신기획평가원,"대학, 기관 등",‘24~‘29,,8700,27000,"- - 3,500 8,700 27,000","3,500|5,200|8,700|27,000|27,000|21,800|419",,,,"- ･ 디지털 인재양성 종합방안 수립 발표(관계부처 합동, ‘22. 8월) 1. 고도화된 디지털 전문인재 ② 디지털 분야 연구개발 인력양성 및 창업 창작 지원 ･ ㅇ (신산업 융복합 연구인력 양성) AI, 빅데이터 등 혁신성장 선도 신산업 분야 경쟁력 ･ 제고 및 산업 사회문제 해결을 선도할 고급인재 육성 ㅇ (연구지원 연계 인재 육성) 국가 첨단전략기술 중심의 디지털 연구센터 개편 확대 ･ 및 산업계 현안해결과 원천기술개발을 통한 인재양성 지원 2. 도메인 분야에 디지털기술을 적용하는 인재 ① 비전공 학습자들을 위한 AI + X 등 디지털 융합 과정 운영 ㅇ AI 등 디지털 + X 역량 향상 지원 프로그램 운영 ㅇ AI 등 디지털 + X 융합 과정 활성화 - 글로벌 디지털 격차 해소(뉴욕 구상 발표) (‘22. 9월, 디지털 비전 포럼 기조연설) - 1117 - 전략 1. 세계 최고의 디지털 역량 ‘6 대 디지털 혁신기술 분야’에서 초격차 기술력을 확보하겠습니다. ㅇ (투자방향) ",,1115,국가AI전략위 AI 예산사업 통합 설명자료(2026.3)
